Volcano Number,Latitude,Longitude,Elevation (m)
300261,56.113,160.509,3943
300270,56.653,161.36,3283
300271,55.42,167.33,-300
300272,54.761,157.407,1967
300273,55.55,157.47,1868
300280,55.678,157.718,3596
300360,56.483,157.917,1401
300450,56.656,159.647,2570
300511,57.153,161.09,355
300512,57.2,159.83,765
300520,57.317,160.067,1399
300550,57.33,160.2,2125
300551,57.35,160.97,583
300552,57.35,161.37,265
300560,57.406,160.108,1523
300590,57.55,160.53,1381
300650,57.97,160.65,1764
300671,58.13,160.82,2171
300680,58.18,160.82,2552
300700,58.28,160.87,1936
302030,56.28,117.77,2180
302040,53.75,113.25,1250
302050,51.5,102.5,1200
302060,52.713,99.021,2047
302070,52.433,98.303,2765
303010,48.133,99.95,2326
303020,48.67,102.75,1886
303040,45.754,114.279,1778
304030,35.742,81.646,5090
305010,41.59,113.111,1605
305011,47.45,120.8,1677
305020,49.37,125.92,670
305030,48.722,126.15,597
305040,44.08,128.83,1000
305050,42.33,126.5,1000
305060,41.98,128.08,2744
306020,38.33,127.33,452
306030,37.5,130.87,984
306040,33.361,126.53,1919
311010,52.35,175.911,656
311020,52.103,177.602,1220
311030,52.015,178.136,1160
311040,51.97,178.33,328
311050,51.95,178.543,1174
311060,51.93,179.58,1221
311070,51.79,-178.794,1573
311080,51.885,-178.146,1806
311090,51.873,-178.006,1449
311100,51.91,-177.438,738
311110,51.923,-177.168,1307
311111,51.944,-176.747,1196
311120,52.076,-176.13,1740
311130,52.177,-175.508,314
311140,52.22,-175.13,273
311160,52.331,-174.139,1518
311180,52.315,-172.51,1054
311190,52.5,-171.252,1066
311200,52.577,-171.13,1142
311210,52.6394,-170.6317,550
311220,52.742,-170.111,1280
311230,52.894,-170.054,1620
311240,52.825,-169.944,1730
311241,52.83,-169.77,1170
311250,53.065,-169.77,888
311260,52.974,-169.72,893
311270,53.13,-168.693,2149
311280,53.157,-168.539,1984
311290,53.43,-168.13,1073
311300,53.93,-168.03,150
311310,53.891,-166.923,1800
311320,54.134,-165.986,1303
311340,54.516,-164.65,1563
311350,54.65,-164.43,1112
311360,54.756,-163.97,2857
311380,54.8,-163.589,1871
311390,55.4184,-163.1472,547
312010,55.067,-162.835,1728
312011,55.183,-162.276,1465
312020,55.3519,-162.0445,1534
312030,55.417,-161.894,2493
312040,55.457,-161.854,2142
312050,55.641,-161.214,1354
312055,55.917,-160.017,1633
312060,56.011,-159.797,1895
312070,56.17,-159.38,2507
312080,56.552,-158.785,1032
312090,56.88,-158.17,1341
312100,57.019,-157.185,1345
312110,57.135,-156.99,2221
312120,57.203,-156.745,1677
312130,57.751,-156.368,1474
312131,57.8344,-156.5203,91
312132,57.87,-155.411,402
312140,58.172,-155.361,1863
312150,58.195,-155.253,2165
312160,58.236,-155.1,1864
312170,58.279,-154.9533,2047
312180,58.2655,-155.1588,841
312190,58.354,-155.092,2317
312200,58.336,-154.682,2162
312210,58.418,-154.449,2287
312220,58.4298,-154.3895,2279
312230,58.453,-154.355,2043
312250,58.6113,-154.0245,901
312260,58.77,-153.672,2105
312270,58.855,-153.542,2140
313010,59.3626,-153.435,1218
313020,60.032,-153.09,3053
313030,60.485,-152.742,3108
313040,61.299,-152.251,3374
313050,61.64,-152.411,3034
314010,57.167,-170.213,203
314030,61.43,-164.47,190
314040,63.45,-162.12,715
314060,65.517,-163.45,610
315001,64.0616,-148.4327,830
315020,62.006,-144.017,4278
315030,61.38,-141.75,5005
315040,57.05,-135.75,970
315050,56.5,-133.1,15
315060,55.25,-133.3,50
315070,55.35,-131,500
320010,62.93,-137.38,1239
320020,60.42,-135.42,2217
320030,59.708,-133.358,1880
320031,59.37,-130.58,2123
320040,58.6,-131.97,2012
320050,58.42,-131.35,2164
320060,57.72,-130.63,2786
320070,57.43,-130.68,2430
320080,56.78,-131.28,1850
320090,56.567,-130.75,1880
320100,55.1109,-128.8991,612
320110,54.7,-130.23,335
320120,52.498,-128.723,233
320140,52.928,-123.732,1238
320150,52.0306,-120.1125,950
320160,51.5179,-126.1133,2860
320170,50.8,-123.4,2500
320180,50.63,-123.5,2680
320190,49.933,-123,2316
320200,49.85,-123,2678
320811,50.12,-123.28,2375
321010,48.777,-121.813,3285
321020,48.112,-121.113,3213
321030,46.853,-121.76,4392
321040,46.206,-121.49,3742
321050,46.2,-122.18,2549
321060,45.88,-122.08,1329
321070,45.93,-121.82,1806
322010,45.374,-121.695,3426
322020,44.674,-121.8,3199
322030,44.4125,-121.7686,1136
322040,44.38,-121.93,1664
322060,44.285,-121.8423,2094
322070,44.133,-121.767,3159
322090,43.979,-121.688,2763
322100,43.57,-121.82,2163
322110,43.722,-121.229,2434
322120,43.512,-120.861,1698
322150,43.2411,-122.1111,1958
322160,42.942,-122.107,2487
322170,43.1,-118.75,1435
322190,43.147,-117.46,1473
323010,41.409,-122.193,4317
323020,41.611,-121.554,2412
323080,40.492,-121.508,3187
323100,38.97,-122.77,1439
323110,38,-119.03,2121
323120,37.804,-119.029,2796
323150,37.631,-119.032,3369
323160,37.02,-117.45,752
323200,33.197,-115.616,-40
324010,43.183,-114.352,1478
324020,43.371,-113.493,2005
324030,42.8859,-113.2166,1597
324040,43.492,-112.4503,1632
326010,39.525,-118.8778,1251
327040,37.58,-112.67,2840
327050,38.97,-112.5,1800
327110,33.78,-105.93,1731
327120,34.8,-108,2550
327812,34.25,-108.83,2300
328010,39.6613,-107.0355,2230
329010,36.38,-113.13,1555
329020,35.347,-111.678,3850
331005,48.78,-128.64,-2550
331010,47.95,-129.1,-2050
331011,46.88,-129.33,-2100
331020,46.52,-129.58,-2400
331021,45.95,-130,-1410
331030,44.83,-130.3,-2140
331031,42.67,-126.78,-3000
331032,42.15,-127.05,-3100
331040,40.98,-127.5,-1700
331060,44.267,-129.879,-3000
332000,18.92,-155.27,-975
332010,19.421,-155.287,1222
332020,19.475,-155.608,4170
332030,19.82,-155.47,4205
332040,19.692,-155.87,2523
332060,20.708,-156.25,3055
333010,-17.564,-148.821,-1743
333020,-17.662,-148.586,-2515
333030,-18.325,-148.525,-312
333040,-17.874,-148.068,389
333050,-25.37,-129.27,-39
333060,-28.98,-140.25,-39
334020,16.55,-105.32,-2700
334021,15.83,-105.43,-2300
334040,10.73,-103.58,-2900
334050,9.83,-104.3,-2500
334070,0.792,-86.15,-2430
334100,-8.27,-107.95,-2800
334120,-17.436,-113.206,-2566
334130,-18.175,-113.35,-2650
334140,-18.53,-113.42,-2600
335020,-53.998,-139.845,-1000
335030,-56.153,-143.373,-5700
341000,32.418,-115.305,223
341001,31.85,-113.5,1183
341003,29.9728,-114.4082,183
341004,29.33,-114.5,960
341007,28.5,-113.75,1360
341011,27.438,-111.881,224
341012,26,-111.92,780
341020,19.3,-110.82,332
341021,18.78,-110.95,1050
341022,24.15,-104.45,2075
341024,21.45,-104.73,2340
341030,21.125,-104.508,2280
341031,20.567,-104.817,2525
341040,19.514,-103.62,3850
341060,19.85,-101.75,3860
341061,19.4,-100.25,3500
341062,19.73,-99.758,3900
341070,19.108,-99.758,4680
341080,19.139,-99.16,3938
341082,19.179,-98.642,5230
341090,19.023,-98.622,5393
341091,19.231,-98.032,4461
341092,19.27,-97.47,3485
341093,19.68,-97.45,3150
341094,19.81,-96.527,775
341095,19.67,-96.75,2000
341096,19.492,-97.15,4282
341097,19.33,-97.25,3500
341098,19.15,-97.27,3940
341100,19.03,-97.27,5564
341110,18.57,-95.2,1650
341120,17.3602,-93.2297,1150
341130,15.132,-92.109,4064
342020,15.043,-91.903,4203
342030,14.757,-91.552,3745
342040,14.797,-91.519,3173
342060,14.583,-91.186,3535
342070,14.612,-91.189,3158
342080,14.501,-90.876,3976
342090,14.4748,-90.8806,3799
342100,14.465,-90.743,3760
342110,14.382,-90.601,2569
342111,14.33,-90.4,1454
342120,14.156,-90.407,1845
342121,14.34,-90.271,1802
342130,14.03,-90.1,1662
342140,14.308,-89.992,1600
342141,14.43,-89.9,1716
342150,14.33,-89.87,1192
342160,14.4,-89.78,2042
342170,14.12,-89.73,1775
342180,14.42,-89.68,1292
343002,14.054,-89.631,926
343010,13.872,-89.742,2028
343020,13.853,-89.63,2381
343030,13.813,-89.633,1950
343041,13.87,-89.55,746
343050,13.734,-89.294,1893
343051,14.02,-89.25,665
343060,13.672,-89.053,450
343070,13.5969,-88.8375,2149
343072,13.435,-88.532,1172
343080,13.494,-88.502,1593
343081,13.419,-88.471,1449
343082,13.47,-88.43,1640
343090,13.478,-88.33,1300
343100,13.434,-88.269,2130
343101,13.428,-88.105,181
343130,13.274,-87.639,774
343140,13.33,-87.63,640
343150,14.964,-87.983,1060
344010,12.98,-87.57,872
344020,12.702,-87.004,1745
344040,12.606,-86.84,1036
344070,12.506,-86.702,728
344080,12.4922,-86.6786,1088
344090,12.423,-86.539,1270
344091,12.242,-86.342,518
