# Vertices from mesh.e
# Format: Node_ID X Y [Z]
# Number of nodes: 9648
388 85582.296875 224090.312500 -8863.551758
389 86743.500000 221843.328125 -8973.995117
390 87694.460938 219597.343750 -9081.226562
391 88609.539062 217255.281250 -9212.753906
392 89481.023438 214930.921875 -9361.271484
393 90303.296875 212561.968750 -9519.206055
394 91102.250000 210204.140625 -9683.257812
395 91885.195312 207862.656250 -9853.838867
396 92691.710938 205515.515625 -10058.555664
397 93483.601562 203180.484375 -10300.323242
398 94236.625000 200771.109375 -10512.536133
399 95040.632812 198387.578125 -10672.620117
400 95845.859375 195987.312500 -10780.998047
401 96649.429688 193575.718750 -10811.594727
402 97436.281250 191184.296875 -10784.809570
403 98181.992188 188788.828125 -10682.007812
404 98930.890625 186426.593750 -10548.211914
405 99631.257812 184067.500000 -10383.617188
406 100308.453125 181735.640625 -10265.757812
407 101022.085938 179358.828125 -10184.770508
408 101751.335938 176952.265625 -10091.383789
409 102479.890625 174559.718750 -9975.708008
410 103231.218750 172177.109375 -9866.185547
411 104000.210938 169795.406250 -9789.033203
412 104795.500000 167411.375000 -9752.500000
413 105598.125000 165047.218750 -9717.676758
414 106416.406250 162691.125000 -9691.365234
415 107236.148438 160337.812500 -9684.684570
416 108071.093750 157986.656250 -9674.689453
417 108922.539062 155642.718750 -9633.294922
418 109770.039062 153300.359375 -9558.995117
419 110623.312500 150956.640625 -9457.638672
420 111462.656250 148608.625000 -9305.866211
421 112271.460938 146244.953125 -9158.882812
422 113050.273438 143868.093750 -9079.692383
423 113791.984375 141487.921875 -9057.193359
424 114504.507812 139106.484375 -9056.208984
425 115205.671875 136719.781250 -9048.230469
426 115896.382812 134328.250000 -9037.952148
427 116578.531250 131937.265625 -9010.815430
428 117258.273438 129545.226562 -8948.424805
429 117945.437500 127153.476562 -8891.656250
430 118646.718750 124765.375000 -8823.109375
431 119356.726562 122378.656250 -8792.754883
432 120108.828125 120000.000000 -8752.428711
433 58061.078125 457499.312500 -6990.346680
434 58177.761719 460000.000000 -6915.670410
435 57945.410156 454998.968750 -7062.627930
436 57818.695312 452498.093750 -7127.659668
437 57682.027344 449998.718750 -7189.703125
438 57525.445312 447498.562500 -7253.677246
